# Time (s),Mass (g)
0.01,901
0.02,900
0.03,899
0.04,898
0.05,896
0.058,895
0.065,895
0.071,894
0.077,893
0.082,893
0.087,892
0.091,892
0.098,891
0.108,890
0.124,888
0.147,885
0.181,881
0.214,877
0.253,873
0.303,867
0.337,864
0.357,861
0.375,860
0.392,858
0.41,856
0.431,853
0.464,850
0.514,844
0.531,843
0.548,841
0.572,838
0.608,834
0.635,831
0.654,829
0.677,827
0.711,823
0.742,820
0.765,818
0.799,814
0.838,810
0.876,806
0.926,802
0.976,797
1.026,793
1.076,790
1.126,788
1.169,787
1.219,787
1.269,787
1.319,787
1.369,787
1.419,787
1.469,787
1.519,787
1.569,787
1.619,787
1.669,787
1.719,787
1.769,787
1.819,787
1.869,787
1.919,787
1.969,787
2.019,787
2.069,787
2.119,787
2.169,787
2.219,787
2.269,787
2.319,787
2.369,787
2.419,787
2.469,787
2.519,787
2.569,787
2.619,787
2.669,787
2.719,787
2.769,787
2.819,787
2.869,787
2.919,787
2.969,787
3.019,787
3.069,787
3.119,787
3.169,787
3.219,787
3.269,787
3.319,787
3.369,787
3.419,787
3.469,787
3.519,787
3.569,787
3.619,787
3.669,787
3.719,787
3.769,787
3.818,787
3.868,787
3.918,787
3.968,787
4.018,787
4.068,787
4.118,787
4.168,787
4.218,787
4.268,787
4.318,787
4.368,787
4.418,787
4.468,787
4.518,787
4.568,787
4.618,787
4.668,787
4.718,787
4.768,787
4.818,787
4.868,787
4.918,787
4.968,787
5.018,787
5.068,787
5.118,787
5.168,787
5.218,787
5.268,787
5.318,787
5.368,787
5.418,787
5.468,787
5.518,787
5.568,787
5.618,787
5.668,787
5.718,787
5.768,787
5.818,787
5.868,787
5.918,787
5.968,787
6.018,787
6.068,787
6.118,787
6.168,787
6.218,787
6.268,787
6.318,787
6.368,787
6.418,787
6.468,787
6.518,787
6.568,787
6.618,787
6.668,787
6.718,787
6.768,787
6.818,787
6.868,787
6.918,787
6.968,787
7.018,787
7.068,787
7.118,787
7.168,787
7.218,787
7.268,787
7.318,787
7.368,787
7.418,787
7.468,787
7.518,787
7.568,787
7.618,787
7.668,787
7.718,787
7.768,787
7.818,787
7.868,787
7.918,787
7.968,787
8.018,787
8.068,787
8.118,787
8.168,787
8.218,787
8.268,787
8.318,787
8.368,787
8.418,787
8.468,787
8.518,787
8.568,787
8.618,787
8.668,787
8.718,787
8.768,787
8.818,787
8.868,787
8.918,787
8.968,787
9.018,787
9.068,787
9.118,787
9.168,787
9.218,787
9.268,787
9.318,787
9.368,787
9.418,787
9.468,787
9.518,787
9.568,787
9.618,787
9.668,787
9.718,787
9.768,787
9.818,787
9.868,787
9.918,787
9.968,787
10.018,787
10.068,787
10.118,787
10.168,787
10.218,787
10.268,787
10.318,787
10.368,787
10.418,787
10.468,787
10.518,787
10.568,787
10.618,787
10.668,787
10.718,787
10.768,787
10.818,787
10.868,787
10.918,787
10.968,787
11.018,787
11.068,787
11.118,787
11.168,787
11.171,787
11.172,787
11.399,787
11.619,787
11.878,787
12.193,787
12.608,787
13.108,787
13.608,787
14.108,787
14.608,787
15.108,787
15.608,787
16.108,787
16.608,787
17.108,787
17.608,787
18.108,787
18.608,787
19.108,787
19.608,787
20.108,787
20.608,787
21.108,787
21.608,787
22.108,787
22.608,787
23.108,787
23.608,787
24.108,787
24.608,787
25.108,787
25.608,787
26.108,787
26.608,787
27.108,787
27.608,787
28.108,787
28.608,787
29.108,787
29.608,787
30.108,787
30.608,787
31.108,787
31.608,787
32.108,787
32.608,787
33.108,787
33.608,787
34.108,787
34.608,787
35.108,787
35.608,787
36.108,787
36.608,787
37.108,787
37.608,787
38.108,787
38.608,787
39.108,787
39.608,787
40.108,787
40.608,787
41.108,787
41.608,787
42.108,787
42.608,787
43.108,787
43.608,787
44.108,787
44.608,787
45.108,787
45.608,787
46.108,787
46.608,787
47.108,787
47.608,787
48.108,787
48.608,787
49.108,787
49.608,787
50.108,787
50.608,787
51.108,787
51.608,787
52.108,787
52.608,787
53.108,787
53.608,787
54.108,787
54.608,787
55.108,787
55.608,787
56.108,787
56.608,787
57.108,787
57.608,787
57.808,787
