# Time (s),Thrust (N)
0.01,183.427
0.02,252.406
0.03,248.215
0.04,245.266
0.05,242.809
0.058,240.6
0.065,239.674
0.071,239.787
0.077,239.89
0.082,239.984
0.087,240.072
0.091,240.154
0.098,240.254
0.108,240.191
0.124,239.585
0.147,238.655
0.181,237.261
0.214,235.373
0.253,231.264
0.303,228.483
0.337,229.268
0.357,227.116
0.375,225.63
0.392,224.272
0.41,223.145
0.431,223.025
0.464,223.025
0.514,222.977
0.531,222.47
0.548,222.04
0.572,221.523
0.608,220.779
0.635,220.091
0.654,219.643
0.677,219.236
0.711,218.68
0.742,218.05
0.765,217.532
0.799,215.386
0.838,209.945
0.876,205.96
0.926,199.683
0.976,184.104
1.026,168.712
1.076,147.71
1.126,74.149
1.169,21.838
1.219,0
1.269,0
1.319,0
1.369,0
1.419,0
1.469,0
1.519,0
1.569,0
1.619,0
1.669,0
1.719,0
1.769,0
1.819,0
1.869,0
1.919,0
1.969,0
2.019,0
2.069,0
2.119,0
2.169,0
2.219,0
2.269,0
2.319,0
2.369,0
2.419,0
2.469,0
2.519,0
2.569,0
2.619,0
2.669,0
2.719,0
2.769,0
2.819,0
2.869,0
2.919,0
2.969,0
3.019,0
3.069,0
3.119,0
3.169,0
3.219,0
3.269,0
3.319,0
3.369,0
3.419,0
3.469,0
3.519,0
3.569,0
3.619,0
3.669,0
3.719,0
3.769,0
3.818,0
3.868,0
3.918,0
3.968,0
4.018,0
4.068,0
4.118,0
4.168,0
4.218,0
4.268,0
4.318,0
4.368,0
4.418,0
4.468,0
4.518,0
4.568,0
4.618,0
4.668,0
4.718,0
4.768,0
4.818,0
4.868,0
4.918,0
4.968,0
5.018,0
5.068,0
5.118,0
5.168,0
5.218,0
5.268,0
5.318,0
5.368,0
5.418,0
5.468,0
5.518,0
5.568,0
5.618,0
5.668,0
5.718,0
5.768,0
5.818,0
5.868,0
5.918,0
5.968,0
6.018,0
6.068,0
6.118,0
6.168,0
6.218,0
6.268,0
6.318,0
6.368,0
6.418,0
6.468,0
6.518,0
6.568,0
6.618,0
6.668,0
6.718,0
6.768,0
6.818,0
6.868,0
6.918,0
6.968,0
7.018,0
7.068,0
7.118,0
7.168,0
7.218,0
7.268,0
7.318,0
7.368,0
7.418,0
7.468,0
7.518,0
7.568,0
7.618,0
7.668,0
7.718,0
7.768,0
7.818,0
7.868,0
7.918,0
7.968,0
8.018,0
8.068,0
8.118,0
8.168,0
8.218,0
8.268,0
8.318,0
8.368,0
8.418,0
8.468,0
8.518,0
8.568,0
8.618,0
8.668,0
8.718,0
8.768,0
8.818,0
8.868,0
8.918,0
8.968,0
9.018,0
9.068,0
9.118,0
9.168,0
9.218,0
9.268,0
9.318,0
9.368,0
9.418,0
9.468,0
9.518,0
9.568,0
9.618,0
9.668,0
9.718,0
9.768,0
9.818,0
9.868,0
9.918,0
9.968,0
10.018,0
10.068,0
10.118,0
10.168,0
10.218,0
10.268,0
10.318,0
10.368,0
10.418,0
10.468,0
10.518,0
10.568,0
10.618,0
10.668,0
10.718,0
10.768,0
10.818,0
10.868,0
10.918,0
10.968,0
11.018,0
11.068,0
11.118,0
11.168,0
11.171,0
11.172,0
11.399,0
11.619,0
11.878,0
12.193,0
12.608,0
13.108,0
13.608,0
14.108,0
14.608,0
15.108,0
15.608,0
16.108,0
16.608,0
17.108,0
17.608,0
18.108,0
18.608,0
19.108,0
19.608,0
20.108,0
20.608,0
21.108,0
21.608,0
22.108,0
22.608,0
23.108,0
23.608,0
24.108,0
24.608,0
25.108,0
25.608,0
26.108,0
26.608,0
27.108,0
27.608,0
28.108,0
28.608,0
29.108,0
29.608,0
30.108,0
30.608,0
31.108,0
31.608,0
32.108,0
32.608,0
33.108,0
33.608,0
34.108,0
34.608,0
35.108,0
35.608,0
36.108,0
36.608,0
37.108,0
37.608,0
38.108,0
38.608,0
39.108,0
39.608,0
40.108,0
40.608,0
41.108,0
41.608,0
42.108,0
42.608,0
43.108,0
43.608,0
44.108,0
44.608,0
45.108,0
45.608,0
46.108,0
46.608,0
47.108,0
47.608,0
48.108,0
48.608,0
49.108,0
49.608,0
50.108,0
50.608,0
51.108,0
51.608,0
52.108,0
52.608,0
53.108,0
53.608,0
54.108,0
54.608,0
55.108,0
55.608,0
56.108,0
56.608,0
57.108,0
57.608,0
57.808,0
